"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","526","POM Usage","webkit","2026-09-24","passed","2026-09-24","","day32/02-faker-usage.spec.ts","",""
"","5881","login test","chromium","2026-09-24","passed","2026-09-24","","day30/04-snack-attack.spec.ts","",""
"","613","login user standard_user","firefox","2026-09-24","passed","2026-09-24","","day31/01-ddt-json.spec.ts","",""
"","586","POM Usage","webkit","2026-09-24","passed","2026-09-24","","day30/01-login.spec.ts","",""
"","5599","login user performance_glitch_user","firefox","2026-09-24","passed","2026-09-24","","day31/01-ddt-json.spec.ts","",""
"","798","login user visual_user","firefox","2026-09-24","passed","2026-09-24","","day31/02-ddt-with-excel.spec.ts","",""
"","277","POM Usage","chromium","2026-09-24","passed","2026-09-24","","day32/02-faker-usage.spec.ts","",""
"","255","login user performance_glitch_user","chromium","2026-09-24","passed","2026-09-24","","day31/02-ddt-with-excel.spec.ts","",""
"","461","POM Usage","chromium","2026-09-24","passed","2026-09-24","","day30/01-login.spec.ts","",""
"","520","login user visual_user","webkit","2026-09-24","passed","2026-09-24","","day31/02-ddt-with-excel.spec.ts","",""
"","268","Invalid login","chromium","2026-09-24","passed","2026-09-24","","day30/01-login.spec.ts","",""
"","18596","login test","chromium","2026-09-24","failed","2026-09-24","","day30/03-open-source.spec.ts","",""
"","5258","login test","webkit","2026-09-24","passed","2026-09-24","","day30/04-snack-attack.spec.ts","",""
"","253","login user visual_user","chromium","2026-09-24","passed","2026-09-24","","day31/01-ddt-json.spec.ts","",""
"","1666","login user standard_user","firefox","2026-09-24","passed","2026-09-24","","day31/02-ddt-with-excel.spec.ts","",""
"","1455","Register test","firefox","2026-09-24","passed","2026-09-24","","day32/01-register.spec.ts","",""
"","586","POM Usage","firefox","2026-09-24","passed","2026-09-24","","day32/02-faker-usage.spec.ts","",""
"","20811","login test","webkit","2026-09-24","passed","2026-09-24","","day30/03-open-source.spec.ts","",""
"","564","inventory item test","webkit","2026-09-24","passed","2026-09-24","","day30/02-inventory.spec.ts","",""
"","1391","Register test","firefox","2026-09-24","passed","2026-09-24","","day32/03-custom-fixture.spec.ts","",""
"","5522","login user performance_glitch_user","webkit","2026-09-24","passed","2026-09-24","","day31/02-ddt-with-excel.spec.ts","",""
"","23932","login test","firefox","2026-09-24","passed","2026-09-24","","day32/03-custom-fixture.spec.ts","",""
"","683","inventory item test","firefox","2026-09-24","passed","2026-09-24","","day30/02-inventory.spec.ts","",""
"","324","login user standard_user","chromium","2026-09-24","passed","2026-09-24","","day31/02-ddt-with-excel.spec.ts","",""
"","6165","POM Usage","webkit","2026-09-24","passed","2026-09-24","","day29/01-login.spec.ts","",""
"","4755","login test","firefox","2026-09-24","passed","2026-09-24","","day30/04-snack-attack.spec.ts","",""
"","506","login user standard_user","webkit","2026-09-24","passed","2026-09-24","","day31/02-ddt-with-excel.spec.ts","",""
"","622","POM Usage","firefox","2026-09-24","passed","2026-09-24","","day30/01-login.spec.ts","",""
"","275","POM Usage","chromium","2026-09-24","passed","2026-09-24","","day32/03-custom-fixture.spec.ts","",""
"","21994","login test","webkit","2026-09-24","passed","2026-09-24","","day32/03-custom-fixture.spec.ts","",""
"","1147","Register test","chromium","2026-09-24","passed","2026-09-24","","day32/01-register.spec.ts","",""
"","267","login user standard_user","chromium","2026-09-24","passed","2026-09-24","","day31/01-ddt-json.spec.ts","",""
"","326","inventory item test","chromium","2026-09-24","passed","2026-09-24","","day30/02-inventory.spec.ts","",""
"","1649","POM Usage","firefox","2026-09-24","passed","2026-09-24","","day29/01-login.spec.ts","",""
"","5594","login user performance_glitch_user","firefox","2026-09-24","passed","2026-09-24","","day31/02-ddt-with-excel.spec.ts","",""
"","1561","Register test","webkit","2026-09-24","passed","2026-09-24","","day32/03-custom-fixture.spec.ts","",""
"","536","login user visual_user","webkit","2026-09-24","passed","2026-09-24","","day31/01-ddt-json.spec.ts","",""
"","972","Register test","chromium","2026-09-24","passed","2026-09-24","","day32/03-custom-fixture.spec.ts","",""
"","504","Invalid login","webkit","2026-09-24","passed","2026-09-24","","day30/01-login.spec.ts","",""
"","1665","Register test","webkit","2026-09-24","passed","2026-09-24","","day32/01-register.spec.ts","",""
"","14149","login test","chromium","2026-09-24","failed","2026-09-24","","day32/03-custom-fixture.spec.ts","",""
"","580","Invalid login","firefox","2026-09-24","passed","2026-09-24","","day30/01-login.spec.ts","",""
"","506","POM Usage","webkit","2026-09-24","passed","2026-09-24","","day32/03-custom-fixture.spec.ts","",""
"","436","POM Usage","chromium","2026-09-24","passed","2026-09-24","","day29/01-login.spec.ts","",""
"","5626","login user performance_glitch_user","webkit","2026-09-24","passed","2026-09-24","","day31/01-ddt-json.spec.ts","",""
"","571","login user visual_user","firefox","2026-09-24","passed","2026-09-24","","day31/01-ddt-json.spec.ts","",""
"","282","login user performance_glitch_user","chromium","2026-09-24","passed","2026-09-24","","day31/01-ddt-json.spec.ts","",""
"","681","POM Usage","firefox","2026-09-24","passed","2026-09-24","","day32/03-custom-fixture.spec.ts","",""
"","523","login user standard_user","webkit","2026-09-24","passed","2026-09-24","","day31/01-ddt-json.spec.ts","",""
"","25243","login test","firefox","2026-09-24","passed","2026-09-24","","day30/03-open-source.spec.ts","",""
"","275","login user visual_user","chromium","2026-09-24","passed","2026-09-24","","day31/02-ddt-with-excel.spec.ts","",""
