"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4085","login test","chromium","2026-09-22","passed","2026-09-22","","day32/03-custom-fixture.spec.ts","",""
"","1763","login user standard_user","firefox","2026-09-22","passed","2026-09-22","","day31/02-ddt-with-excel.spec.ts","",""
"","1532","Register test","firefox","2026-09-22","passed","2026-09-22","","day32/01-register.spec.ts","",""
"","5920","login test","firefox","2026-09-22","passed","2026-09-22","","day30/04-snack-attack.spec.ts","",""
"","1009","Register test","chromium","2026-09-22","passed","2026-09-22","","day32/01-register.spec.ts","",""
"","5623","login user performance_glitch_user","firefox","2026-09-22","passed","2026-09-22","","day31/01-ddt-json.spec.ts","",""
"","266","login user standard_user","chromium","2026-09-22","passed","2026-09-22","","day31/02-ddt-with-excel.spec.ts","",""
"","303","inventory item test","chromium","2026-09-22","passed","2026-09-22","","day30/02-inventory.spec.ts","",""
"","7441","login test","webkit","2026-09-22","passed","2026-09-22","","day30/04-snack-attack.spec.ts","",""
"","267","POM Usage","chromium","2026-09-22","passed","2026-09-22","","day30/01-login.spec.ts","",""
"","290","Invalid login","chromium","2026-09-22","passed","2026-09-22","","day30/01-login.spec.ts","",""
"","259","login user standard_user","chromium","2026-09-22","passed","2026-09-22","","day31/01-ddt-json.spec.ts","",""
"","5601","login user performance_glitch_user","firefox","2026-09-22","passed","2026-09-22","","day31/02-ddt-with-excel.spec.ts","",""
"","654","login user visual_user","webkit","2026-09-22","passed","2026-09-22","","day31/01-ddt-json.spec.ts","",""
"","277","login user visual_user","chromium","2026-09-22","passed","2026-09-22","","day31/01-ddt-json.spec.ts","",""
"","580","Invalid login","firefox","2026-09-22","passed","2026-09-22","","day30/01-login.spec.ts","",""
"","620","login user standard_user","firefox","2026-09-22","passed","2026-09-22","","day31/01-ddt-json.spec.ts","",""
"","503","login user standard_user","webkit","2026-09-22","passed","2026-09-22","","day31/02-ddt-with-excel.spec.ts","",""
"","277","POM Usage","chromium","2026-09-22","passed","2026-09-22","","day32/03-custom-fixture.spec.ts","",""
"","542","login user standard_user","webkit","2026-09-22","passed","2026-09-22","","day31/01-ddt-json.spec.ts","",""
"","338","login user performance_glitch_user","chromium","2026-09-22","passed","2026-09-22","","day31/02-ddt-with-excel.spec.ts","",""
"","1727","Register test","webkit","2026-09-22","passed","2026-09-22","","day32/01-register.spec.ts","",""
"","567","POM Usage","webkit","2026-09-22","passed","2026-09-22","","day32/03-custom-fixture.spec.ts","",""
"","803","login user visual_user","firefox","2026-09-22","passed","2026-09-22","","day31/02-ddt-with-excel.spec.ts","",""
"","460","POM Usage","chromium","2026-09-22","passed","2026-09-22","","day29/01-login.spec.ts","",""
"","5551","login user performance_glitch_user","webkit","2026-09-22","passed","2026-09-22","","day31/02-ddt-with-excel.spec.ts","",""
"","3351","login test","chromium","2026-09-22","passed","2026-09-22","","day30/03-open-source.spec.ts","",""
"","1500","Register test","webkit","2026-09-22","passed","2026-09-22","","day32/03-custom-fixture.spec.ts","",""
"","623","login user visual_user","firefox","2026-09-22","passed","2026-09-22","","day31/01-ddt-json.spec.ts","",""
"","1726","POM Usage","firefox","2026-09-22","passed","2026-09-22","","day29/01-login.spec.ts","",""
"","547","login user visual_user","webkit","2026-09-22","passed","2026-09-22","","day31/02-ddt-with-excel.spec.ts","",""
"","5163","login test","webkit","2026-09-22","passed","2026-09-22","","day30/03-open-source.spec.ts","",""
"","554","inventory item test","webkit","2026-09-22","passed","2026-09-22","","day30/02-inventory.spec.ts","",""
"","568","POM Usage","webkit","2026-09-22","passed","2026-09-22","","day30/01-login.spec.ts","",""
"","307","POM Usage","chromium","2026-09-22","passed","2026-09-22","","day32/02-faker-usage.spec.ts","",""
"","4297","login test","firefox","2026-09-22","passed","2026-09-22","","day32/03-custom-fixture.spec.ts","",""
"","1425","Register test","firefox","2026-09-22","passed","2026-09-22","","day32/03-custom-fixture.spec.ts","",""
"","253","login user performance_glitch_user","chromium","2026-09-22","passed","2026-09-22","","day31/01-ddt-json.spec.ts","",""
"","1018","Register test","chromium","2026-09-22","passed","2026-09-22","","day32/03-custom-fixture.spec.ts","",""
"","619","inventory item test","firefox","2026-09-22","passed","2026-09-22","","day30/02-inventory.spec.ts","",""
"","654","POM Usage","firefox","2026-09-22","passed","2026-09-22","","day32/03-custom-fixture.spec.ts","",""
"","547","Invalid login","webkit","2026-09-22","passed","2026-09-22","","day30/01-login.spec.ts","",""
"","5148","POM Usage","webkit","2026-09-22","passed","2026-09-22","","day29/01-login.spec.ts","",""
"","5503","login user performance_glitch_user","webkit","2026-09-22","passed","2026-09-22","","day31/01-ddt-json.spec.ts","",""
"","616","POM Usage","firefox","2026-09-22","passed","2026-09-22","","day32/02-faker-usage.spec.ts","",""
"","560","POM Usage","webkit","2026-09-22","passed","2026-09-22","","day32/02-faker-usage.spec.ts","",""
"","4388","login test","firefox","2026-09-22","passed","2026-09-22","","day30/03-open-source.spec.ts","",""
"","272","login user visual_user","chromium","2026-09-22","passed","2026-09-22","","day31/02-ddt-with-excel.spec.ts","",""
"","4224","login test","webkit","2026-09-22","passed","2026-09-22","","day32/03-custom-fixture.spec.ts","",""
"","623","POM Usage","firefox","2026-09-22","passed","2026-09-22","","day30/01-login.spec.ts","",""
"","5676","login test","chromium","2026-09-22","passed","2026-09-22","","day30/04-snack-attack.spec.ts","",""
