"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","619","inventory item test","firefox","2026-09-22","passed","2026-09-22","","day30/02-inventory.spec.ts","",""
"","571","login user standard_user","webkit","2026-09-22","passed","2026-09-22","","day31/02-ddt-with-excel.spec.ts","",""
"","1719","Register test","firefox","2026-09-22","passed","2026-09-22","","day32/01-register.spec.ts","",""
"","2051","Register test","webkit","2026-09-22","passed","2026-09-22","","day32/01-register.spec.ts","",""
"","5623","login user performance_glitch_user","firefox","2026-09-22","passed","2026-09-22","","day31/02-ddt-with-excel.spec.ts","",""
"","1770","Register test","webkit","2026-09-22","passed","2026-09-22","","day32/03-custom-fixture.spec.ts","",""
"","5568","login user performance_glitch_user","firefox","2026-09-22","passed","2026-09-22","","day31/01-ddt-json.spec.ts","",""
"","3133","POM Usage","webkit","2026-09-22","passed","2026-09-22","","day29/01-login.spec.ts","",""
"","521","login user visual_user","webkit","2026-09-22","passed","2026-09-22","","day31/02-ddt-with-excel.spec.ts","",""
"","333","Invalid login","chromium","2026-09-22","passed","2026-09-22","","day30/01-login.spec.ts","",""
"","529","login user standard_user","webkit","2026-09-22","passed","2026-09-22","","day31/01-ddt-json.spec.ts","",""
"","7336","login test","chromium","2026-09-22","passed","2026-09-22","","day32/03-custom-fixture.spec.ts","",""
"","305","login user visual_user","chromium","2026-09-22","passed","2026-09-22","","day31/02-ddt-with-excel.spec.ts","",""
"","1832","login user standard_user","firefox","2026-09-22","passed","2026-09-22","","day31/02-ddt-with-excel.spec.ts","",""
"","717","login user standard_user","firefox","2026-09-22","passed","2026-09-22","","day31/01-ddt-json.spec.ts","",""
"","310","POM Usage","chromium","2026-09-22","passed","2026-09-22","","day32/02-faker-usage.spec.ts","",""
"","293","login user visual_user","chromium","2026-09-22","passed","2026-09-22","","day31/01-ddt-json.spec.ts","",""
"","623","POM Usage","firefox","2026-09-22","passed","2026-09-22","","day30/01-login.spec.ts","",""
"","7177","login test","chromium","2026-09-22","passed","2026-09-22","","day30/04-snack-attack.spec.ts","",""
"","5211","login test","firefox","2026-09-22","passed","2026-09-22","","day30/04-snack-attack.spec.ts","",""
"","555","inventory item test","webkit","2026-09-22","passed","2026-09-22","","day30/02-inventory.spec.ts","",""
"","5277","login test","webkit","2026-09-22","passed","2026-09-22","","day30/04-snack-attack.spec.ts","",""
"","565","Invalid login","firefox","2026-09-22","passed","2026-09-22","","day30/01-login.spec.ts","",""
"","560","Invalid login","webkit","2026-09-22","passed","2026-09-22","","day30/01-login.spec.ts","",""
"","1235","Register test","chromium","2026-09-22","passed","2026-09-22","","day32/03-custom-fixture.spec.ts","",""
"","521","POM Usage","webkit","2026-09-22","passed","2026-09-22","","day32/03-custom-fixture.spec.ts","",""
"","297","login user standard_user","chromium","2026-09-22","passed","2026-09-22","","day31/02-ddt-with-excel.spec.ts","",""
"","601","POM Usage","firefox","2026-09-22","passed","2026-09-22","","day32/03-custom-fixture.spec.ts","",""
"","6034","login test","firefox","2026-09-22","passed","2026-09-22","","day30/03-open-source.spec.ts","",""
"","507","login user visual_user","webkit","2026-09-22","passed","2026-09-22","","day31/01-ddt-json.spec.ts","",""
"","4154","login test","chromium","2026-09-22","passed","2026-09-22","","day30/03-open-source.spec.ts","",""
"","4962","login test","firefox","2026-09-22","passed","2026-09-22","","day32/03-custom-fixture.spec.ts","",""
"","646","login user visual_user","firefox","2026-09-22","passed","2026-09-22","","day31/01-ddt-json.spec.ts","",""
"","618","POM Usage","firefox","2026-09-22","passed","2026-09-22","","day32/02-faker-usage.spec.ts","",""
"","559","POM Usage","webkit","2026-09-22","passed","2026-09-22","","day30/01-login.spec.ts","",""
"","321","inventory item test","chromium","2026-09-22","passed","2026-09-22","","day30/02-inventory.spec.ts","",""
"","302","login user performance_glitch_user","chromium","2026-09-22","passed","2026-09-22","","day31/01-ddt-json.spec.ts","",""
"","4496","login test","webkit","2026-09-22","passed","2026-09-22","","day32/03-custom-fixture.spec.ts","",""
"","304","login user performance_glitch_user","chromium","2026-09-22","passed","2026-09-22","","day31/02-ddt-with-excel.spec.ts","",""
"","5522","login user performance_glitch_user","webkit","2026-09-22","passed","2026-09-22","","day31/01-ddt-json.spec.ts","",""
"","1635","Register test","firefox","2026-09-22","passed","2026-09-22","","day32/03-custom-fixture.spec.ts","",""
"","1360","Register test","chromium","2026-09-22","passed","2026-09-22","","day32/01-register.spec.ts","",""
"","5564","login user performance_glitch_user","webkit","2026-09-22","passed","2026-09-22","","day31/02-ddt-with-excel.spec.ts","",""
"","287","POM Usage","chromium","2026-09-22","passed","2026-09-22","","day30/01-login.spec.ts","",""
"","5574","login test","webkit","2026-09-22","passed","2026-09-22","","day30/03-open-source.spec.ts","",""
"","306","login user standard_user","chromium","2026-09-22","passed","2026-09-22","","day31/01-ddt-json.spec.ts","",""
"","298","POM Usage","chromium","2026-09-22","passed","2026-09-22","","day32/03-custom-fixture.spec.ts","",""
"","892","login user visual_user","firefox","2026-09-22","passed","2026-09-22","","day31/02-ddt-with-excel.spec.ts","",""
"","576","POM Usage","chromium","2026-09-22","passed","2026-09-22","","day29/01-login.spec.ts","",""
"","1679","POM Usage","firefox","2026-09-22","passed","2026-09-22","","day29/01-login.spec.ts","",""
"","526","POM Usage","webkit","2026-09-22","passed","2026-09-22","","day32/02-faker-usage.spec.ts","",""
